,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Sales +,148,236,46,159,876
Expenses +,110,78,42,141,759
Operating Profit,38,158,3,18,117
OPM %,25%,67%,7%,11%,13%
Other Income +,0,19,11,6,18
Interest,6,8,5,40,172
Depreciation,0,1,1,19,105
Profit before tax,31,168,7,-35,-141
Tax %,34%,39%,76%,9%,-10%
Net Profit,21,102,2,-32,-155
EPS in Rs,,15.83,0.13,-2.52,-7.78
