,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10.50,10.50,10.50,10.50,10.50,10.50,11.57,12.87,12.87,12.87,15.67,15.67,15.67
Reserves,24.18,29.02,27.48,25.74,28.15,17.92,9.63,9.13,7.49,-27.17,-27.45,-26.73,-25.52
Borrowings +,38.73,38.18,44.64,39.23,34.59,40.24,30.77,28.12,30.17,22.84,20.64,19.61,18.90
Other Liabilities +,32.99,18.73,21.53,25.06,27.72,20.07,22.14,20.82,16.89,18.94,18.24,24.14,25.66
Total Liabilities,105.90,95.93,104.15,100.53,100.96,88.73,74.11,70.94,67.42,27.48,27.10,32.69,34.71
Fixed Assets +,43.77,40.34,38.63,34.01,29.89,32.25,32.00,27.78,27.76,3.38,3.17,3.57,3.40
CWIP,0.07,1.11,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.53,0.73,-0.00,-0.00
Investments,9.61,10.87,11.13,12.09,12.38,8.35,8.18,8.45,8.94,0.88,0.88,0.89,0.89
Other Assets +,52.45,43.61,54.39,54.43,58.69,48.13,33.93,34.71,30.72,22.69,22.32,28.23,30.42
Total Assets,105.90,95.93,104.15,100.53,100.96,88.73,74.11,70.94,67.42,27.48,27.10,32.69,34.71
