,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,12,12,12,12,12,12,12,12,13
Reserves,-0,208,233,286,344,416,489,561,642,880
Borrowings +,0,393,365,298,252,270,294,307,398,392
Other Liabilities +,0,230,260,194,216,229,309,291,324,359
Total Liabilities,0,842,871,791,823,927,"1,104","1,172","1,376","1,644"
Fixed Assets +,0,328,353,324,331,330,429,413,468,500
CWIP,0,9,4,5,1,22,17,18,9,45
Investments,0,0,0,0,0,0,0,106,161,251
Other Assets +,0,505,514,462,492,575,658,634,739,849
Total Assets,0,842,871,791,823,927,"1,104","1,172","1,376","1,644"
