,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Share Capital +,136,136,136,136
Reserves,"2,225","2,601","3,199","3,705"
Borrowings +,"3,853","4,859","5,782","6,391"
Other Liabilities +,626,"1,111","1,821","1,917"
Total Liabilities,"6,800","8,667","10,897","12,109"
Fixed Assets +,407,"1,261","1,339","2,542"
CWIP,234,115,433,0
Investments,132,209,178,354
Other Assets +,"6,027","7,082","8,947","9,213"
Total Assets,"6,800","8,667","10,897","12,109"
