,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,21,21,21,21,21,14,21,21,16,21,21,14
Reserves,41,38,40,38,23,24,124,110,123,106,115,111,112
Borrowings +,60,61,47,53,56,52,62,57,64,73,70,68,85
Other Liabilities +,118,109,119,117,117,104,97,133,106,109,70,93,80
Total Liabilities,234,222,220,223,209,194,298,314,307,302,270,287,291
Fixed Assets +,90,93,97,99,87,85,224,221,202,201,195,194,194
CWIP,3,3,3,3,3,3,0,0,0,0,0,2,0
Investments,2,4,2,2,3,2,1,0,0,0,0,0,0
Other Assets +,138,122,118,119,116,104,72,92,104,100,75,91,96
Total Assets,234,222,220,223,209,194,298,314,307,302,270,287,291
