,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,36,71,86,86,86,87,87,88
Reserves,103,109,109,277,309,278,288,367
Borrowings +,21,25,27,34,48,54,48,39
Other Liabilities +,138,139,126,216,200,201,194,196
Total Liabilities,298,344,348,613,642,620,616,691
Fixed Assets +,121,100,100,358,416,419,420,416
CWIP,3,4,5,22,6,0,1,1
Investments,4,75,98,102,95,65,38,87
Other Assets +,171,166,145,132,126,136,157,187
Total Assets,298,344,348,613,642,620,616,691
