,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,19,19,19,19,19,19,19,19,19,19
Reserves,188,214,179,200,235,260,285,359,451,438,498,569,588
Borrowings +,114,258,272,316,327,311,275,216,280,359,253,302,258
Other Liabilities +,134,139,127,142,153,142,144,195,197,167,186,183,236
Total Liabilities,455,630,597,677,735,732,723,789,948,983,956,"1,074","1,101"
Fixed Assets +,185,231,219,233,258,259,247,260,322,364,359,358,351
CWIP,3,20,19,38,4,5,9,15,15,16,10,11,18
Investments,0,0,0,0,0,0,6,14,13,12,12,34,36
Other Assets +,267,378,359,405,473,468,461,500,598,591,575,672,695
Total Assets,455,630,597,677,735,732,723,789,948,983,956,"1,074","1,101"
