,Mar 2021,Mar 2022,TTM
Sales +,226,286,321
Expenses +,216,266,295
Operating Profit,10,20,26
OPM %,4%,7%,8%
Other Income +,6,1,0
Interest,4,6,6
Depreciation,4,8,8
Profit before tax,8,7,12
Tax %,43%,27%,
Net Profit,4,5,9
EPS in Rs,7.86,9.38,15.09
