,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,100,233,268,260
Expenses +,92,209,236,232
Operating Profit,8,24,32,28
OPM %,8%,10%,12%,11%
Other Income +,9,0,0,2
Interest,3,5,4,3
Depreciation,2,4,5,5
Profit before tax,13,15,24,21
Tax %,9%,35%,35%,
Net Profit,12,10,16,14
EPS in Rs,3.87,3.34,5.27,7.45
