,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,20,22,22
Reserves,51,72,110,146,451,464
Borrowings +,56,77,91,90,120,140
Other Liabilities +,28,31,41,59,65,68
Total Liabilities,144,188,249,315,658,694
Fixed Assets +,57,67,111,120,160,161
CWIP,10,6,5,10,51,129
Investments,1,0,0,0,0,0
Other Assets +,76,115,133,185,447,403
Total Assets,144,188,249,315,658,694
