,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Sep 2017
Share Capital +,13,13,13,13,14,15,16,16,16,16,16
Reserves,77,74,79,80,87,76,73,64,54,-54,-87
Borrowings +,149,152,122,135,146,140,154,148,141,125,128
Other Liabilities +,33,29,34,43,56,50,68,69,69,71,65
Total Liabilities,272,268,249,271,302,282,311,297,280,159,122
Fixed Assets +,69,76,101,107,94,101,99,93,92,81,78
CWIP,19,25,18,16,20,9,12,14,17,17,0
Investments,0,14,0,0,0,2,2,1,1,1,1
Other Assets +,183,152,130,148,188,170,198,189,169,60,43
Total Assets,272,268,249,271,302,282,311,297,280,159,122
