,Mar 2006,Mar 2007,Mar 2008,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,16,16,17,18,20,20,20,20,20,20
Reserves,16,22,33,65,101,141,165,-96,-177,-241
Borrowings +,28,37,43,68,90,146,199,248,245,243
Other Liabilities +,31,34,35,58,79,115,127,103,124,111
Total Liabilities,91,108,128,210,290,422,512,275,212,133
Fixed Assets +,44,46,49,58,75,87,92,63,36,21
CWIP,0,0,0,1,2,5,13,18,18,11
Investments,1,1,1,1,1,1,1,1,1,1
Other Assets +,47,62,78,150,212,329,406,193,158,100
Total Assets,91,108,128,210,290,422,512,275,212,133
