,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,461,462,480,659,895
Expenses +,380,382,380,556,761
Operating Profit,80,80,99,104,134
OPM %,17%,17%,21%,16%,15%
Other Income +,1,-14,1,8,8
Interest,11,11,6,8,10
Depreciation,18,21,23,23,21
Profit before tax,52,33,71,81,111
Tax %,25%,44%,22%,24%,
Net Profit,39,19,55,61,86
EPS in Rs,23.82,11.03,32.61,35.93,50.62
