,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,14,14,19,19,19,19,19,19,19
Reserves,40,52,66,88,112,144,283,273,266,296,280,312,304
Borrowings +,35,41,40,33,26,27,81,138,152,172,104,72,217
Other Liabilities +,45,53,57,44,36,58,77,328,337,375,340,392,328
Total Liabilities,129,156,173,175,188,243,459,758,774,862,742,796,868
Fixed Assets +,36,48,41,34,49,48,159,344,339,355,288,286,306
CWIP,0,0,16,14,0,1,6,0,1,1,0,0,0
Investments,1,1,1,1,0,0,0,6,30,34,50,19,20
Other Assets +,92,107,115,126,139,195,294,407,404,473,404,491,542
Total Assets,129,156,173,175,188,243,459,758,774,862,742,796,868
