,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,67,67,67,67,67,67,67,67,67,67,67,67,67
Reserves,520,627,735,863,911,758,760,761,815,849,904,609,437
Borrowings +,0,0,0,0,0,0,0,0,0,137,453,388,431
Other Liabilities +,"2,277","2,053","1,920","2,186","2,090","2,762","3,039","3,085","2,677","2,316","2,569","2,394","2,397"
Total Liabilities,"2,864","2,747","2,722","3,117","3,069","3,588","3,867","3,913","3,559","3,370","3,993","3,458","3,332"
Fixed Assets +,353,373,445,444,396,374,350,271,151,307,283,133,118
CWIP,45,95,37,24,50,39,28,9,12,5,2,2,1
Investments,0,0,0,0,0,3,3,3,3,3,3,10,10
Other Assets +,"2,466","2,279","2,240","2,649","2,622","3,172","3,486","3,630","3,394","3,056","3,705","3,312","3,203"
Total Assets,"2,864","2,747","2,722","3,117","3,069","3,588","3,867","3,913","3,559","3,370","3,993","3,458","3,332"
