,Mar 2018,Mar 2019
Share Capital +,31,31
Reserves,403,470
Borrowings +,373,434
Other Liabilities +,32,155
Total Liabilities,839,"1,090"
Fixed Assets +,360,527
CWIP,54,62
Investments,104,108
Other Assets +,320,393
Total Assets,839,"1,090"
