,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,137,191,251,174
Expenses +,112,191,435,345
Operating Profit,25,-0,-184,-171
OPM %,19%,-0%,-74%,-98%
Other Income +,72,30,50,68
Interest,25,21,86,129
Depreciation,8,8,9,9
Profit before tax,65,1,-229,-242
Tax %,18%,-563%,-1%,
Net Profit,53,6,-233,-217
EPS in Rs,,0.21,-7.89,-7.34
