,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,14,14,14,14,14,14,14
Reserves,24,28,33,49,59,73,80,119,76
Borrowings +,0,0,5,5,14,13,14,21,54
Other Liabilities +,1,16,26,58,53,71,57,107,117
Total Liabilities,33,51,78,126,140,172,165,261,261
Fixed Assets +,1,28,28,36,55,50,68,87,50
CWIP,0,0,0,18,16,18,1,0,0
Investments,1,0,2,1,1,0,1,6,23
Other Assets +,30,23,49,70,68,104,97,168,188
Total Assets,33,51,78,126,140,172,165,261,261
