,Mar 2010,Mar 2011,Mar 2012,Jun 2013,Jun 2014
Share Capital +,11,11,12,12,12
Reserves,88,140,167,-4,-145
Borrowings +,195,272,317,322,322
Other Liabilities +,66,78,71,129,142
Total Liabilities,360,500,568,460,331
Fixed Assets +,67,91,104,97,91
CWIP,10,19,19,11,11
Investments,0,0,0,0,0
Other Assets +,283,390,445,352,229
Total Assets,360,500,568,460,331
