,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,100,100,100,100,100,100,100,100,150,150,150,150,150
Reserves,"1,467","1,596","1,392","1,350","1,264","1,168","1,101","1,103","1,119",733,-50,-298,"1,152"
Borrowings +,"6,225","3,558","1,679",558,436,273,440,519,961,"3,850","2,422","2,626",145
Other Liabilities +,"11,988","5,581","3,726","3,050","4,499","2,117","4,207","3,450","2,150","1,677","2,952","2,306","2,163"
Total Liabilities,"19,780","10,835","6,897","5,058","6,300","3,659","5,848","5,172","4,380","6,410","5,474","4,783","3,611"
Fixed Assets +,128,151,164,146,122,57,57,52,49,49,42,38,36
CWIP,134,118,126,142,153,1,0,0,0,0,0,0,0
Investments,518,608,473,432,275,214,247,128,147,80,82,102,108
Other Assets +,"19,000","9,959","6,135","4,338","5,749","3,386","5,544","4,992","4,184","6,282","5,350","4,643","3,467"
Total Assets,"19,780","10,835","6,897","5,058","6,300","3,659","5,848","5,172","4,380","6,410","5,474","4,783","3,611"
