,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11
Reserves,598,637,683,756,804
Borrowings +,72,51,9,1,38
Other Liabilities +,143,140,156,186,218
Total Liabilities,812,839,859,955,"1,071"
Fixed Assets +,339,327,348,276,291
CWIP,16,46,13,25,121
Investments,125,119,245,197,87
Other Assets +,333,347,253,457,572
Total Assets,812,839,859,955,"1,071"
