,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,17,17,17,17,17,17,17,17,17,17,17,17
Reserves,63,78,91,86,104,110,115,120,121,129,139,145
Borrowings +,72,136,134,121,99,110,105,115,117,139,135,143
Other Liabilities +,44,67,68,84,60,92,96,100,114,121,100,121
Total Liabilities,196,298,311,308,280,329,332,352,369,406,391,426
Fixed Assets +,52,88,103,101,94,102,103,110,99,97,98,93
CWIP,1,9,2,0,0,1,0,0,0,1,1,1
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,142,202,206,207,186,226,229,241,270,308,291,332
Total Assets,196,298,311,308,280,329,332,352,369,406,391,426
