,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Sep 2016
Share Capital +,22,27,36,36,55,114,114,114,114,114,114,114
Reserves,77,176,479,509,784,827,935,943,787,684,325,145
Borrowings +,60,92,530,671,907,492,891,912,"1,050",949,967,478
Other Liabilities +,45,279,338,256,310,897,601,594,719,832,"1,152","1,521"
Total Liabilities,204,574,"1,383","1,472","2,057","2,330","2,541","2,563","2,669","2,579","2,558","2,257"
Fixed Assets +,2,4,12,23,28,30,29,29,26,18,15,13
CWIP,0,0,0,0,3,0,0,0,0,0,0,0
Investments,0,0,10,0,7,6,3,4,4,0,0,0
Other Assets +,201,569,"1,361","1,449","2,019","2,294","2,509","2,529","2,640","2,561","2,543","2,244"
Total Assets,204,574,"1,383","1,472","2,057","2,330","2,541","2,563","2,669","2,579","2,558","2,257"
