,Mar 2006,Mar 2007,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,51,51,51,51,51,51,51,51,311
Reserves,432,537,836,"1,060","1,240","1,453","1,565","1,366",559
Borrowings +,100,410,"1,771","2,897","2,538","3,647","4,350","5,462","6,953"
Other Liabilities +,847,"1,273","1,554","1,363","3,940","3,987","5,110","5,546","4,875"
Total Liabilities,"1,429","2,271","4,212","5,372","7,769","9,138","11,075","12,424","12,441"
Fixed Assets +,104,131,518,600,"1,023","1,116","1,113",975,759
CWIP,52,165,"1,008","1,375","1,058","1,424","1,745","1,959","1,960"
Investments,0,0,24,609,201,229,237,262,304
Other Assets +,"1,273","1,974","2,663","2,787","5,487","6,369","7,980","9,228","9,417"
Total Assets,"1,429","2,271","4,212","5,372","7,769","9,138","11,075","12,424","12,441"
