,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,16,17,19
Reserves,66,83,110,136
Borrowings +,17,43,93,101
Other Liabilities +,17,37,47,42
Total Liabilities,115,178,268,298
Fixed Assets +,66,69,205,212
CWIP,13,49,1,23
Investments,0,0,7,18
Other Assets +,36,60,55,44
Total Assets,115,178,268,298
