,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,574,"1,111","1,768","2,441","3,774","4,451"
Expenses +,601,"1,091","1,685","2,283","3,610","4,236"
Operating Profit,-27,21,83,158,164,215
OPM %,-5%,2%,5%,6%,4%,5%
Other Income +,4,5,10,12,27,32
Interest,7,27,46,32,47,62
Depreciation,7,31,60,72,96,125
Profit before tax,-37,-32,-12,66,47,60
Tax %,25%,23%,-31%,7%,13%,
Net Profit,-28,-25,-16,62,41,47
EPS in Rs,-3.47,-2.87,-1.90,6.82,0.14,0.16
