,Mar 2011,Mar 2022,TTM
Sales +,366,267,281
Expenses +,290,251,260
Operating Profit,76,16,21
OPM %,21%,6%,8%
Other Income +,4,7,7
Interest,8,3,3
Depreciation,13,11,12
Profit before tax,59,9,13
Tax %,21%,21%,
Net Profit,47,7,9
EPS in Rs,3.91,0.57,0.76
