,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Share Capital +,8,11,12,13,13,13
Reserves,40,95,173,231,249,196
Borrowings +,7,118,113,202,260,262
Other Liabilities +,17,39,102,60,70,23
Total Liabilities,73,262,399,506,592,495
Fixed Assets +,33,60,144,188,289,259
CWIP,4,7,46,67,16,14
Investments,0,3,3,2,0,0
Other Assets +,36,192,207,249,286,222
Total Assets,73,262,399,506,592,495
