,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,0,641,"2,156","2,036","2,432","2,705"
Expenses +,0,550,"1,866","1,729","1,994","2,197"
Operating Profit,-0,92,290,307,439,507
OPM %,,14%,13%,15%,18%,19%
Other Income +,0,1,19,21,45,49
Interest,0,7,20,17,19,25
Depreciation,0,19,108,133,120,126
Profit before tax,-0,67,181,178,345,406
Tax %,0%,18%,18%,17%,20%,
Net Profit,-0,55,148,147,276,322
EPS in Rs,-27.00,1.98,5.38,5.33,10.00,11.60
