,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,25,25,25
Reserves,961,"1,148","1,441","1,580"
Borrowings +,264,268,499,665
Other Liabilities +,407,533,832,958
Total Liabilities,"1,657","1,974","2,798","3,228"
Fixed Assets +,481,634,911,904
CWIP,101,112,188,429
Investments,191,304,211,230
Other Assets +,885,924,"1,487","1,665"
Total Assets,"1,657","1,974","2,798","3,228"
