,Mar 2017,TTM
Sales +,553,580
Expenses +,483,512
Operating Profit,69,68
OPM %,12%,12%
Other Income +,2,3
Interest,27,28
Depreciation,18,18
Profit before tax,27,25
Tax %,44%,
Net Profit,15,18
EPS in Rs,6.97,8.33
