,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,131,131,131,131,131,131,131,131,131,132,132,132,132
Reserves,"1,051","1,085",532,405,150,175,211,253,410,547,601,621,671
Borrowings +,589,591,886,947,0,0,0,0,12,45,254,357,328
Other Liabilities +,170,197,210,179,154,186,183,160,182,311,198,417,496
Total Liabilities,"1,941","2,003","1,758","1,662",435,491,525,544,734,"1,036","1,185","1,527","1,627"
Fixed Assets +,10,10,9,9,8,8,10,18,28,26,23,214,"1,298"
CWIP,101,124,339,337,118,130,6,6,26,327,535,759,3
Investments,115,77,30,31,28,74,160,51,137,118,65,19,18
Other Assets +,"1,715","1,792","1,379","1,285",281,279,349,470,543,565,563,536,309
Total Assets,"1,941","2,003","1,758","1,662",435,491,525,544,734,"1,036","1,185","1,527","1,627"
