,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,285,285,285,285,285,285,285,285,285,285,285,285,285
Reserves,"3,307","1,997","1,140",515,36,-648,"1,307",214,-467,"-1,563",-170,643,622
Borrowings +,"8,465","11,082","12,362","13,694","13,076","14,231","9,214","8,927","9,935","12,413","11,394","9,122","8,840"
Other Liabilities +,"7,784","8,975","10,041","10,456","10,798","11,230","10,228","10,131","10,198","10,996","9,797","9,588","10,335"
Total Liabilities,"19,841","22,339","23,828","24,950","24,195","25,098","21,033","19,557","19,951","22,131","21,306","19,638","20,081"
Fixed Assets +,"10,355","14,204","14,711","14,914","14,704","14,444","10,929","10,797","11,289","12,768","11,520","10,936","10,758"
CWIP,"2,038","1,149",771,653,638,800,751,520,361,349,493,852,"1,058"
Investments,844,753,"1,322","1,758","1,768","1,837","2,434","1,250","1,491","1,563","2,233","1,565","1,753"
Other Assets +,"6,603","6,234","7,024","7,625","7,086","8,017","6,920","6,990","6,809","7,451","7,060","6,284","6,512"
Total Assets,"19,841","22,339","23,828","24,950","24,195","25,098","21,033","19,557","19,951","22,131","21,306","19,638","20,081"
