,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,86,86,86,86,86,86,86,86,86,86,86,86,86
Reserves,196,200,203,208,214,216,221,222,243,234,195,200,219
Borrowings +,5,5,5,3,4,4,5,1,1,1,1,1,1
Other Liabilities +,302,300,279,295,311,304,307,359,332,298,281,298,519
Total Liabilities,589,591,573,592,614,610,618,667,663,619,563,585,825
Fixed Assets +,72,71,68,62,52,51,57,57,55,51,45,40,45
CWIP,25,6,4,6,7,8,13,4,6,6,6,11,6
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,492,514,500,523,556,551,547,606,602,562,511,534,774
Total Assets,589,591,573,592,614,610,618,667,663,619,563,585,825
