,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,5,5,5,5,5,5,5,6,6,6
Reserves,83,88,90,91,87,97,100,80,59,54,66,257,228
Borrowings +,8,12,17,15,14,8,12,12,13,18,22,19,21
Other Liabilities +,33,30,34,31,28,41,32,54,34,24,21,20,16
Total Liabilities,128,134,145,142,134,150,148,151,111,100,114,301,271
Fixed Assets +,58,59,60,68,61,46,42,37,34,33,42,51,50
CWIP,9,3,18,4,3,3,2,1,0,1,0,0,0
Investments,24,29,26,27,25,50,63,65,27,15,8,30,77
Other Assets +,37,42,41,43,44,51,42,49,49,52,64,220,144
Total Assets,128,134,145,142,134,150,148,151,111,100,114,301,271
