,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,186,186,186,186,186,186,186,186,186,186,186,186,186
Reserves,258,282,302,302,314,322,290,232,197,166,126,85,69
Borrowings +,139,109,77,25,0,42,55,62,68,67,67,67,67
Other Liabilities +,44,68,107,137,157,84,61,76,64,62,65,66,65
Total Liabilities,627,645,672,649,658,634,593,557,515,481,444,404,386
Fixed Assets +,581,577,576,574,572,553,518,497,466,424,382,341,320
CWIP,0,0,0,0,0,0,21,9,0,0,0,0,0
Investments,24,35,52,6,0,22,0,0,0,0,0,0,0
Other Assets +,22,32,44,69,85,59,54,50,49,57,62,62,66
Total Assets,627,645,672,649,658,634,593,557,515,481,444,404,386
