,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,119,119,119,119,119,120,120
Reserves,275,284,300,369,440,362,407
Borrowings +,657,703,"1,105","1,159","1,622","1,104","1,140"
Other Liabilities +,365,450,531,595,733,767,689
Total Liabilities,"1,416","1,555","2,054","2,241","2,914","2,353","2,356"
Fixed Assets +,493,549,"1,008","1,052",965,910,858
CWIP,68,66,50,89,58,44,37
Investments,0,0,0,2,10,0,1
Other Assets +,855,941,997,"1,098","1,880","1,399","1,461"
Total Assets,"1,416","1,555","2,054","2,241","2,914","2,353","2,356"
