,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,1,1,1,2,2,2,2,2,2,3,3
Reserves,306,337,381,499,585,611,649,638,679,735,716,733
Borrowings +,2,5,9,21,28,29,42,39,38,18,14,1
Other Liabilities +,156,172,213,217,231,255,256,249,248,286,302,313
Total Liabilities,465,515,604,738,846,897,949,928,967,"1,040","1,036","1,050"
Fixed Assets +,125,122,122,194,148,231,242,249,263,277,270,270
CWIP,2,1,1,-0,2,0,3,2,12,4,3,1
Investments,1,1,0,0,68,65,70,69,76,74,70,71
Other Assets +,338,392,481,544,628,600,634,608,616,686,692,708
Total Assets,465,515,604,738,846,897,949,928,967,"1,040","1,036","1,050"
