,Mar 2016
Sales +,0.00
Expenses +,3.19
Operating Profit,-3.19
OPM %,
Other Income +,0.02
Interest,0.12
Depreciation,0.02
Profit before tax,-3.31
Tax %,0.00%
Net Profit,-4.24
EPS in Rs,-0.10
