,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,21,21,21,21,21,21,21,21,24,34,34
Reserves,649,714,798,762,743,639,429,882,517,99,59,314,214
Borrowings +,110,128,787,844,"1,054","1,324","1,232","1,555","1,204","1,088","1,136","1,190","1,243"
Other Liabilities +,318,385,422,375,344,579,489,792,749,750,659,486,643
Total Liabilities,"1,097","1,247","2,028","2,002","2,162","2,562","2,171","3,249","2,491","1,957","1,878","2,024","2,134"
Fixed Assets +,242,296,540,604,603,767,844,854,768,"1,162","1,152","1,180","1,218"
CWIP,24,9,112,38,39,195,25,13,22,12,10,6,6
Investments,273,226,320,305,271,525,351,"1,825","1,226",8,13,12,21
Other Assets +,559,717,"1,056","1,055","1,248","1,075",952,556,475,775,704,826,889
Total Assets,"1,097","1,247","2,028","2,002","2,162","2,562","2,171","3,249","2,491","1,957","1,878","2,024","2,134"
