,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,47,47,47,47,47,47,47
Reserves,226,181,172,117,88,98,123
Borrowings +,0,0,0,0,141,139,144
Other Liabilities +,59,63,65,185,56,53,69
Total Liabilities,332,291,284,349,332,337,384
Fixed Assets +,115,101,82,156,151,136,143
CWIP,33,29,35,33,29,28,30
Investments,69,67,68,69,73,103,129
Other Assets +,115,94,99,91,79,69,82
Total Assets,332,291,284,349,332,337,384
