,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,22,22,22
Reserves,456,495,553,584
Borrowings +,92,127,358,448
Other Liabilities +,96,103,162,174
Total Liabilities,666,747,"1,095","1,228"
Fixed Assets +,303,311,300,296
CWIP,2,17,276,394
Investments,83,72,69,59
Other Assets +,277,346,449,478
Total Assets,666,747,"1,095","1,228"
