,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,6.00,6.00,6.00,6.00,6.93,9.52,9.56,9.56,9.56,9.56,9.56
Reserves,14.41,14.66,16.22,17.70,26.22,47.59,46.24,42.13,62.89,-90.25,-130.77
Borrowings +,4.28,3.05,1.68,0.00,73.68,58.98,56.09,61.10,73.36,82.98,84.46
Other Liabilities +,2.55,2.87,3.26,2.90,26.78,26.71,31.35,85.24,55.00,60.46,75.93
Total Liabilities,27.24,26.58,27.16,26.60,133.61,142.80,143.24,198.03,200.81,62.75,39.18
Fixed Assets +,16.10,15.36,14.77,15.28,86.34,79.27,78.32,76.61,75.94,11.47,10.71
CWIP,0.00,0.18,1.46,4.85,7.28,10.33,20.12,20.71,17.55,8.08,8.12
Investments,1.20,1.26,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,9.94,9.78,9.67,6.47,39.99,53.20,44.80,100.71,107.32,43.20,20.35
Total Assets,27.24,26.58,27.16,26.60,133.61,142.80,143.24,198.03,200.81,62.75,39.18
