,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,41,41,47,47,22,22,22,22,127,127
Reserves,475,560,635,667,665,365,-298,"-5,584","-7,348","-9,701","-11,384",-3,-44
Borrowings +,369,480,944,"1,177","1,473","2,917","5,165","5,718","6,383","7,007","7,412","1,691","1,750"
Other Liabilities +,683,736,"1,134","1,144","2,372","2,276","1,492","2,634","3,387","4,351","5,367",378,342
Total Liabilities,"1,543","1,793","2,730","3,006","4,527","5,579","6,381","2,790","2,444","1,678","1,417","2,193","2,175"
Fixed Assets +,175,196,261,457,469,436,425,90,62,43,33,27,29
CWIP,3,8,178,9,2,2,28,0,0,0,0,0,0
Investments,17,17,5,5,5,5,5,0,0,0,1,1,1
Other Assets +,"1,349","1,572","2,286","2,535","4,051","5,136","5,922","2,700","2,382","1,635","1,384","2,166","2,146"
Total Assets,"1,543","1,793","2,730","3,006","4,527","5,579","6,381","2,790","2,444","1,678","1,417","2,193","2,175"
