,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,1,1,1,1,1,1,1
Reserves,5,6,6,7,8,10,12
Borrowings +,45,51,174,158,21,32,23
Other Liabilities +,18,31,13,30,4,52,35
Total Liabilities,69,88,194,197,34,95,71
Fixed Assets +,7,7,9,13,6,4,4
CWIP,0,2,4,0,0,0,0
Investments,0,0,0,0,4,6,3
Other Assets +,63,79,180,183,24,85,64
Total Assets,69,88,194,197,34,95,71
