,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016
Share Capital +,13,13,14,14,15,15,15,15
Reserves,77,108,156,203,254,259,115,-171
Borrowings +,19,33,44,111,185,262,249,311
Other Liabilities +,14,28,45,91,89,139,183,100
Total Liabilities,123,182,258,419,543,674,563,255
Fixed Assets +,40,68,123,210,284,302,297,128
CWIP,10,8,14,19,41,59,17,0
Investments,22,14,0,1,5,0,3,5
Other Assets +,51,92,122,190,213,313,245,122
Total Assets,123,182,258,419,543,674,563,255
