,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,80,80,80,88,88,88,88,88,410
Reserves,629,524,406,306,-42,-439,-706,-949,-266
Borrowings +,"1,173","1,008","1,065","1,074","1,073","1,076","1,078","1,078",659
Other Liabilities +,128,68,86,100,183,303,475,656,38
Total Liabilities,"2,010","1,680","1,637","1,569","1,302","1,029",935,873,841
Fixed Assets +,"1,344","1,322","1,233","1,156","1,146",916,822,731,689
CWIP,131,61,95,87,3,0,0,0,1
Investments,1,0,0,0,0,0,0,0,0
Other Assets +,535,297,308,326,152,113,113,142,151
Total Assets,"2,010","1,680","1,637","1,569","1,302","1,029",935,873,841
