,Mar 2009,Mar 2010,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,30,30,6,7,9,9,10,11,13
Reserves,5,6,13,15,23,28,39,57,71
Borrowings +,9,10,20,35,35,37,44,64,68
Other Liabilities +,3,7,15,12,34,49,88,167,215
Total Liabilities,47,53,54,70,101,123,181,299,367
Fixed Assets +,12,13,3,3,2,4,6,6,5
CWIP,9,11,0,0,0,0,0,0,0
Investments,5,5,0,0,0,0,0,1,0
Other Assets +,20,23,51,67,98,119,174,292,361
Total Assets,47,53,54,70,101,123,181,299,367
