,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,29,29,29,29,29,29,29,29
Reserves,"1,415","1,588","1,547","1,670","1,716","1,893","2,053","2,152"
Borrowings +,7,12,142,90,189,849,"1,965","2,520"
Other Liabilities +,519,541,783,807,825,"1,026",975,883
Total Liabilities,"1,970","2,170","2,500","2,595","2,759","3,797","5,021","5,584"
Fixed Assets +,475,440,702,663,623,698,721,723
CWIP,29,15,30,41,78,55,43,24
Investments,791,988,675,711,433,834,738,672
Other Assets +,674,727,"1,093","1,180","1,626","2,210","3,519","4,165"
Total Assets,"1,970","2,170","2,500","2,595","2,759","3,797","5,021","5,584"
