,Mar 2021,Mar 2022,TTM
Sales +,77,91,83
Expenses +,77,105,111
Operating Profit,1,-14,-28
OPM %,1%,-16%,-34%
Other Income +,1,1,1
Interest,3,3,3
Depreciation,7,7,8
Profit before tax,-9,-24,-38
Tax %,-115%,19%,
Net Profit,-19,-19,-31
EPS in Rs,-7.85,-6.55,-8.82
