,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,134,179,179,179,179,179,408,395,395,465,465,465
Reserves,421,"1,210","1,503","1,811","2,230","2,581","3,487","3,526","3,608","3,804","3,423","3,588"
Borrowings +,578,233,"1,004",682,970,803,"1,102","2,121","2,429","2,414","3,391","3,583"
Other Liabilities +,964,"1,813","1,546","2,052","2,371","3,833","4,001","1,608","1,465","1,214",266,245
Total Liabilities,"2,097","3,435","4,233","4,724","5,751","7,397","8,984","7,649","7,897","7,898","7,545","7,882"
Fixed Assets +,66,63,84,90,91,88,93,74,169,139,121,126
CWIP,1,1,1,0,0,0,1,1,1,0,0,0
Investments,0,443,185,13,8,9,19,8,8,15,3,2
Other Assets +,"2,031","2,929","3,963","4,621","5,652","7,299","8,872","7,566","7,720","7,744","7,421","7,754"
Total Assets,"2,097","3,435","4,233","4,724","5,751","7,397","8,984","7,649","7,897","7,898","7,545","7,882"
