,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,26,26,71,71,29,29
Reserves,160,180,195,208,229,274,442,505
Borrowings +,225,292,345,311,272,201,305,267
Other Liabilities +,856,790,739,753,932,"1,052",942,"1,232"
Total Liabilities,"1,268","1,289","1,305","1,299","1,459","1,554","1,717","2,033"
Fixed Assets +,135,178,222,216,240,233,264,276
CWIP,33,15,10,11,3,4,17,22
Investments,25,0,11,12,13,14,1,96
Other Assets +,"1,074","1,096","1,062","1,060","1,203","1,302","1,435","1,639"
Total Assets,"1,268","1,289","1,305","1,299","1,459","1,554","1,717","2,033"
