,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,0,10,10,10,10,10,10
Reserves,44,34,42,51,52,50,51,52
Borrowings +,0,9,26,100,115,129,179,202
Other Liabilities +,34,16,29,33,31,29,18,21
Total Liabilities,78,59,107,193,208,218,259,285
Fixed Assets +,27,12,12,12,12,9,9,9
CWIP,0,0,0,0,2,4,7,7
Investments,2,2,1,1,1,1,2,2
Other Assets +,49,45,94,180,193,204,241,267
Total Assets,78,59,107,193,208,218,259,285
