,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,3,260,197,165,151,212,168,159
Expenses +,43,180,164,140,129,182,134,154
Operating Profit,-40,80,33,24,21,30,34,5
OPM %,"-1,248%",31%,17%,15%,14%,14%,20%,3%
Other Income +,4,0,19,19,18,19,24,33
Interest,22,11,7,11,6,14,12,9
Depreciation,6,14,14,15,20,25,23,21
Profit before tax,-64,55,32,17,14,10,24,8
Tax %,0%,0%,0%,0%,-2%,36%,18%,27%
Net Profit,-64,55,32,17,14,7,19,6
EPS in Rs,,19.99,11.48,6.25,4.43,2.11,6.14,1.97
