,Mar 2020,Mar 2021
Share Capital +,720,766
Reserves,"62,359","54,481"
Borrowings +,"105,655","121,002"
Other Liabilities +,"153,387","166,877"
Total Liabilities,"322,121","343,126"
Fixed Assets +,"154,130","151,394"
CWIP,"8,600","8,377"
Investments,"16,308","24,620"
Other Assets +,"143,083","158,734"
Total Assets,"322,121","343,126"
