,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,24,19,19,19,19,19,19,19,19,19,19
Reserves,757,732,837,775,745,737,721,719,684,611,409,218,154
Borrowings +,"1,025","1,099",814,980,"1,071","1,123","1,154","1,141","1,183","1,212","1,265","1,079","1,102"
Other Liabilities +,572,654,346,311,265,201,196,228,255,291,310,239,284
Total Liabilities,"2,373","2,504","2,016","2,085","2,100","2,080","2,090","2,108","2,142","2,133","2,003","1,556","1,560"
Fixed Assets +,"2,012","2,054","1,543","1,789","1,904","1,839","1,809","1,773","1,759","1,727","1,626","1,479","1,468"
CWIP,209,310,354,143,133,157,188,229,256,279,297,1,1
Investments,0,0,0,0,0,0,0,1,1,1,1,0,0
Other Assets +,153,140,119,154,63,83,93,104,125,126,78,76,91
Total Assets,"2,373","2,504","2,016","2,085","2,100","2,080","2,090","2,108","2,142","2,133","2,003","1,556","1,560"
