,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,033","2,351","2,628","3,466","4,231","4,888","4,182","5,727","6,529"
Expenses +,"1,839","2,108","2,360","3,126","3,790","4,391","3,726","5,138","5,880"
Operating Profit,194,243,269,339,441,497,456,589,649
OPM %,10%,10%,10%,10%,10%,10%,11%,10%,10%
Other Income +,5,6,10,9,7,17,20,15,18
Interest,121,127,124,112,136,129,57,40,36
Depreciation,25,25,28,32,34,57,58,55,56
Profit before tax,53,96,126,204,278,328,361,508,576
Tax %,35%,35%,26%,29%,35%,22%,25%,26%,
Net Profit,34,63,94,145,181,256,270,376,428
EPS in Rs,4.43,8.10,12.04,18.47,22.92,28.64,29.92,41.73,47.47
