,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,49,49,49,49,49,49,49,49,49,49,49,49,49
Reserves,474,519,586,696,756,840,"1,018","1,178","1,372","1,311","1,266","1,420","1,335"
Borrowings +,745,698,703,805,756,"1,007","1,407","2,255","2,790","2,963","2,593","2,922","3,016"
Other Liabilities +,220,276,259,357,369,300,418,728,974,932,"1,183","1,236","1,132"
Total Liabilities,"1,488","1,543","1,597","1,906","1,930","2,196","2,892","4,211","5,185","5,255","5,091","5,627","5,531"
Fixed Assets +,933,919,989,"1,044","1,058","1,012","1,271","2,235","2,382","3,157","3,184","3,176","3,156"
CWIP,7,9,6,11,46,44,113,32,634,173,142,44,30
Investments,10,13,3,0,0,48,0,126,123,29,18,13,13
Other Assets +,539,602,599,852,826,"1,094","1,508","1,818","2,046","1,896","1,747","2,394","2,331"
Total Assets,"1,488","1,543","1,597","1,906","1,930","2,196","2,892","4,211","5,185","5,255","5,091","5,627","5,531"
