,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,211,190,172,170,248,454,622,848
Expenses +,135,129,123,154,255,415,536,762
Operating Profit,76,61,49,15,-7,39,86,86
OPM %,36%,32%,28%,9%,-3%,9%,14%,10%
Other Income +,8,12,-26,16,15,14,24,44
Interest,0,0,2,1,1,1,1,2
Depreciation,1,1,8,20,26,36,39,46
Profit before tax,83,72,13,11,-20,17,70,82
Tax %,22%,15%,92%,38%,-37%,18%,27%,
Net Profit,65,61,1,7,-27,14,51,56
EPS in Rs,,,,,,1.51,4.36,5.22
