,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,6,6,12,12,12,12
Reserves,5,22,26,17,17,18,19
Borrowings +,18,13,24,43,29,24,30
Other Liabilities +,36,49,51,37,37,42,38
Total Liabilities,64,91,107,110,95,97,98
Fixed Assets +,3,3,4,25,5,4,10
CWIP,0,0,0,6,6,6,0
Investments,0,0,0,1,0,0,0
Other Assets +,60,87,102,78,83,87,88
Total Assets,64,91,107,110,95,97,98
