,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10,10
Reserves,165,197,234,273,326,371,399,455,523,551,576
Borrowings +,134,120,107,86,111,122,132,154,185,189,177
Other Liabilities +,77,78,88,82,79,85,91,78,96,115,120
Total Liabilities,386,405,439,451,527,589,631,697,814,865,883
Fixed Assets +,218,222,215,207,327,328,361,354,342,453,483
CWIP,3,2,4,40,3,40,3,25,113,41,7
Investments,5,11,27,16,38,61,93,133,185,181,187
Other Assets +,160,169,193,189,159,160,174,185,173,190,207
Total Assets,386,405,439,451,527,589,631,697,814,865,883
