,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,11,11,11,11,11
Reserves,"1,078","1,196","1,291","1,424","1,472","1,400","1,522","1,621","1,993","1,755","1,255",738,529
Borrowings +,"1,656","2,132","2,678","2,931","3,369","3,399","3,325","3,537","3,448","3,873","4,608","5,354","5,632"
Other Liabilities +,"2,253","2,947","3,174","3,148","3,648","3,098","3,565","4,041","4,142","3,662","3,441","3,765","3,978"
Total Liabilities,"4,997","6,285","7,152","7,512","8,498","7,907","8,423","9,208","9,594","9,302","9,316","9,868","10,151"
Fixed Assets +,"1,125","1,279","1,235","1,196","1,239","1,288","1,179","1,102","1,022",891,745,627,584
CWIP,27,44,43,105,8,15,15,13,12,9,3,2,2
Investments,23,54,110,136,147,116,112,109,105,90,82,53,9
Other Assets +,"3,822","4,908","5,764","6,076","7,104","6,487","7,117","7,984","8,455","8,311","8,486","9,185","9,555"
Total Assets,"4,997","6,285","7,152","7,512","8,498","7,907","8,423","9,208","9,594","9,302","9,316","9,868","10,151"
