,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,10,10,12,12,14,14,14,14,14,14,14
Reserves,96,124,140,198,229,316,309,324,269,233,247,253
Borrowings +,67,65,63,62,70,59,53,58,57,46,22,17
Other Liabilities +,89,81,89,69,76,212,97,97,83,60,64,97
Total Liabilities,261,280,301,341,386,601,473,493,422,352,348,381
Fixed Assets +,118,106,106,110,120,93,102,101,108,75,57,69
CWIP,1,1,1,1,1,1,2,2,3,4,4,-0
Investments,2,2,2,2,2,0,51,82,51,52,54,26
Other Assets +,141,172,192,228,264,508,319,309,260,221,233,285
Total Assets,261,280,301,341,386,601,473,493,422,352,348,381
