,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,167,202,204,207,197,170,105,95,101,107,119,71
Borrowings +,172,340,347,416,433,471,607,625,584,681,779,788
Other Liabilities +,267,842,874,973,"1,189","1,261","1,238","1,131","1,235","1,152","1,150",553
Total Liabilities,618,"1,397","1,438","1,609","1,832","1,914","1,962","1,864","1,933","1,952","2,060","1,424"
Fixed Assets +,118,144,147,151,156,133,114,112,96,80,44,26
CWIP,6,8,9,28,50,51,48,32,35,36,19,19
Investments,0,0,0,0,0,0,5,1,1,1,1,1
Other Assets +,494,"1,246","1,281","1,430","1,626","1,729","1,795","1,719","1,800","1,836","1,995","1,377"
Total Assets,618,"1,397","1,438","1,609","1,832","1,914","1,962","1,864","1,933","1,952","2,060","1,424"
